row_id,n_preferred_domain,n_rejected_domain,mean_prompt_sim,max_prompt_sim,operator,chosen_domain_specificity,rejected_domain_specificity,domain_contrast_delta,correct_sign_rule,chosen_to_preferred_train,chosen_to_rejected_train,rejected_to_preferred_train,rejected_to_rejected_train
0,10,10,0.6207178831100464,0.68813157081604,mean,0.00131148099899292,0.07225485146045685,-0.07094337046146393,False,0.29975107312202454,0.2984395921230316,0.3090476989746094,0.23679284751415253
0,10,10,0.6207178831100464,0.68813157081604,max,0.07549551129341125,0.06097841262817383,0.014517098665237427,True,0.4086230993270874,0.33312758803367615,0.4302152395248413,0.3692368268966675
0,10,10,0.6207178831100464,0.68813157081604,top2,0.07549551129341125,0.05269208550453186,0.022803425788879395,True,0.4086230993270874,0.33312758803367615,0.4139459729194641,0.36125388741493225
0,10,10,0.6207178831100464,0.68813157081604,top3,0.07201269268989563,0.05474004149436951,0.017272651195526123,True,0.40095964074134827,0.32894694805145264,0.40598925948143005,0.35124921798706055
0,10,10,0.6207178831100464,0.68813157081604,top5,0.05986440181732178,0.050340086221694946,0.009524315595626831,True,0.3815388083457947,0.3216744065284729,0.36289340257644653,0.3125533163547516
1,10,10,0.5936758518218994,0.6561053395271301,mean,-0.004379540681838989,-0.017311960458755493,0.012932419776916504,True,0.3692929446697235,0.3736724853515625,0.32647642493247986,0.34378838539123535
1,10,10,0.5936758518218994,0.6561053395271301,max,-0.006653040647506714,-0.11920696496963501,0.1125539243221283,True,0.4865974485874176,0.4932504892349243,0.41262638568878174,0.5318333506584167
1,10,10,0.5936758518218994,0.6561053395271301,top2,0.004028916358947754,-0.06353074312210083,0.06755965948104858,True,0.4759484827518463,0.47191956639289856,0.4118380546569824,0.47536879777908325
1,10,10,0.5936758518218994,0.6561053395271301,top3,-0.005283445119857788,-0.030415713787078857,0.02513226866722107,True,0.45952582359313965,0.46480926871299744,0.4084465205669403,0.43886223435401917
1,10,10,0.5936758518218994,0.6561053395271301,top5,-0.02473849058151245,-0.015850365161895752,-0.0088881254196167,False,0.43136388063430786,0.4561023712158203,0.38846027851104736,0.4043106436729431
2,10,10,0.5371049642562866,0.5733652114868164,mean,-0.04508979618549347,-0.0021917521953582764,-0.04289804399013519,False,0.16875573992729187,0.21384553611278534,0.20046420395374298,0.20265595614910126
2,10,10,0.5371049642562866,0.5733652114868164,max,0.09188112616539001,0.03377169370651245,0.058109432458877563,True,0.3695823550224304,0.2777012288570404,0.29059556126594543,0.256823867559433
2,10,10,0.5371049642562866,0.5733652114868164,top2,0.06604170799255371,6.029009819030762e-05,0.0659814178943634,True,0.3399231433868408,0.2738814353942871,0.255109965801239,0.2550496757030487
2,10,10,0.5371049642562866,0.5733652114868164,top3,0.03604394197463989,-0.014136090874671936,0.05018003284931183,True,0.30057457089424133,0.26453062891960144,0.24032218754291534,0.2544582784175873
2,10,10,0.5371049642562866,0.5733652114868164,top5,0.01402387022972107,-0.011571168899536133,0.025595039129257202,True,0.26097536087036133,0.24695149064064026,0.22723376750946045,0.23880493640899658
3,10,10,0.6219793558120728,0.9924525022506714,mean,0.054477840662002563,0.03388197720050812,0.020595863461494446,True,0.1740962713956833,0.11961843073368073,0.22082948684692383,0.1869475096464157
3,10,10,0.6219793558120728,0.9924525022506714,max,0.08773188292980194,-0.004299819469451904,0.09203170239925385,True,0.2943189740180969,0.20658709108829498,0.32647430896759033,0.33077412843704224
3,10,10,0.6219793558120728,0.9924525022506714,top2,0.04520776867866516,-0.01082831621170044,0.0560360848903656,True,0.25045302510261536,0.2052452564239502,0.30497458577156067,0.3158029019832611
3,10,10,0.6219793558120728,0.9924525022506714,top3,0.04015795886516571,-0.0012270212173461914,0.0413849800825119,True,0.23165933787822723,0.19150137901306152,0.2883376479148865,0.28956466913223267
3,10,10,0.6219793558120728,0.9924525022506714,top5,0.03601168096065521,0.002009779214859009,0.034001901745796204,True,0.21034355461597443,0.1743318736553192,0.25309816002845764,0.25108838081359863
4,10,10,0.6445828676223755,0.6749648451805115,mean,0.03937143087387085,-0.059333354234695435,0.09870478510856628,True,0.43875426054000854,0.3993828296661377,0.3285800516605377,0.38791340589523315
