row_id,n_preferred_domain,n_rejected_domain,mean_prompt_sim,max_prompt_sim,operator,chosen_domain_specificity,rejected_domain_specificity,domain_contrast_delta,correct_sign_rule,chosen_to_preferred_train,chosen_to_rejected_train,rejected_to_preferred_train,rejected_to_rejected_train
0,10,10,0.6207178831100464,0.68813157081604,mean,0.00131148099899292,0.07225485146045685,-0.07094337046146393,False,0.29975107312202454,0.2984395921230316,0.3090476989746094,0.23679284751415253
0,10,10,0.6207178831100464,0.68813157081604,max,0.07549551129341125,0.06097841262817383,0.014517098665237427,True,0.4086230993270874,0.33312758803367615,0.4302152395248413,0.3692368268966675
0,10,10,0.6207178831100464,0.68813157081604,top2,0.07549551129341125,0.05269208550453186,0.022803425788879395,True,0.4086230993270874,0.33312758803367615,0.4139459729194641,0.36125388741493225
0,10,10,0.6207178831100464,0.68813157081604,top3,0.07201269268989563,0.05474004149436951,0.017272651195526123,True,0.40095964074134827,0.32894694805145264,0.40598925948143005,0.35124921798706055
0,10,10,0.6207178831100464,0.68813157081604,top5,0.05986440181732178,0.050340086221694946,0.009524315595626831,True,0.3815388083457947,0.3216744065284729,0.36289340257644653,0.3125533163547516
4,10,10,0.6445828676223755,0.6749648451805115,mean,0.03937143087387085,-0.059333354234695435,0.09870478510856628,True,0.43875426054000854,0.3993828296661377,0.3285800516605377,0.38791340589523315
4,10,10,0.6445828676223755,0.6749648451805115,max,0.016270101070404053,-0.0007195770740509033,0.016989678144454956,True,0.5228424668312073,0.5065723657608032,0.48989784717559814,0.49061742424964905
4,10,10,0.6445828676223755,0.6749648451805115,top2,0.03803730010986328,0.025752633810043335,0.012284666299819946,True,0.5228424668312073,0.484805166721344,0.48989784717559814,0.4641452133655548
4,10,10,0.6445828676223755,0.6749648451805115,top3,0.05130705237388611,0.017168402671813965,0.034138649702072144,True,0.5104849338531494,0.4591778814792633,0.4712562561035156,0.45408785343170166
4,10,10,0.6445828676223755,0.6749648451805115,top5,0.041876137256622314,0.019129842519760132,0.022746294736862183,True,0.4750412106513977,0.4331650733947754,0.451727956533432,0.4325981140136719
5,10,10,0.7759400606155396,0.7786256074905396,mean,-0.0011672675609588623,0.09282779693603516,-0.09399506449699402,False,0.3346717655658722,0.33583903312683105,0.4407082200050354,0.34788042306900024
5,10,10,0.7759400606155396,0.7786256074905396,max,0.009555995464324951,0.05094355344772339,-0.04138755798339844,False,0.4736347198486328,0.46407872438430786,0.5495203733444214,0.498576819896698
5,10,10,0.7759400606155396,0.7786256074905396,top2,-0.011190533638000488,0.09614363312721252,-0.10733416676521301,False,0.44344913959503174,0.4546396732330322,0.5295226573944092,0.43337902426719666
5,10,10,0.7759400606155396,0.7786256074905396,top3,-0.0017862915992736816,0.10193708539009094,-0.10372337698936462,False,0.42948445677757263,0.4312707483768463,0.5118494033813477,0.4099123179912567
5,10,10,0.7759400606155396,0.7786256074905396,top5,0.010817945003509521,0.10169702768325806,-0.09087908267974854,False,0.39627164602279663,0.3854537010192871,0.491539865732193,0.38984283804893494
6,10,10,0.6425226330757141,0.6425225734710693,mean,-0.00359189510345459,0.047525554895401,-0.05111744999885559,False,0.3230992257595062,0.3266911208629608,0.3503097593784332,0.3027842044830322
6,10,10,0.6425226330757141,0.6425225734710693,max,-0.08124545216560364,-0.0031909942626953125,-0.07805445790290833,False,0.41867929697036743,0.49992474913597107,0.4011150598526001,0.4043060541152954
6,10,10,0.6425226330757141,0.6425225734710693,top2,-0.08124545216560364,-0.0031909942626953125,-0.07805445790290833,False,0.41867929697036743,0.49992474913597107,0.4011150598526001,0.4043060541152954
6,10,10,0.6425226330757141,0.6425225734710693,top3,-0.047480642795562744,0.008124679327011108,-0.05560532212257385,False,0.4186793267726898,0.46615996956825256,0.4011150598526001,0.392990380525589
6,10,10,0.6425226330757141,0.6425225734710693,top5,-0.05656728148460388,0.030677378177642822,-0.0872446596622467,False,0.3750227987766266,0.43159008026123047,0.4011150300502777,0.3704376518726349
7,10,10,0.6053829193115234,0.6080754995346069,mean,0.10553979873657227,-0.0640811175107956,0.16962091624736786,True,0.44571858644485474,0.34017878770828247,0.19263191521167755,0.25671303272247314
