analysis,target,domain_variant,control_variant,generic_seed,generic_d_n,generic_metric,generic_source_file,pool_target,eval_target,fold_seed,supervised_seed,supervised_d_n,supervised_metric,supervised_source_file,n_items,observed_generic_rho,observed_supervised_rho,observed_diff
domain_contrast,Surprise,accessible,matchedctrl,18,32,v_struct,vscore_distilgpt2_gutenberg_accessible_v0_matchedctrl_seed18_dn32.csv,Surprise,Surprise,404,19,8,v_pref_struct,vscore_distilgpt2_kfold_surface_poolSurprise_evalSurprise_foldseed404_seed19_dn8.csv,36,-0.3194901057968281,0.1540145774014536,0.47350468319828176
domain_contrast,Surprise,accessible,matchedctrl,19,32,v_struct,vscore_distilgpt2_gutenberg_accessible_v0_matchedctrl_seed19_dn32.csv,Surprise,Surprise,101,17,8,v_pref_struct,vscore_distilgpt2_kfold_surface_poolSurprise_evalSurprise_foldseed101_seed17_dn8.csv,36,-0.2690104115314687,0.3474342222651521,0.6164446337966207
domain_contrast,Surprise,accessible,matchedctrl,19,32,v_struct,vscore_distilgpt2_gutenberg_accessible_v0_matchedctrl_seed19_dn32.csv,Surprise,Surprise,101,18,8,v_pref_struct,vscore_distilgpt2_kfold_surface_poolSurprise_evalSurprise_foldseed101_seed18_dn8.csv,36,-0.2690104115314687,0.4473634129537206,0.7163738244851894
domain_contrast,Surprise,accessible,matchedctrl,19,32,v_struct,vscore_distilgpt2_gutenberg_accessible_v0_matchedctrl_seed19_dn32.csv,Surprise,Surprise,101,19,8,v_pref_struct,vscore_distilgpt2_kfold_surface_poolSurprise_evalSurprise_foldseed101_seed19_dn8.csv,36,-0.2690104115314687,0.4182603239129777,0.6872707354444464
domain_contrast,Surprise,accessible,matchedctrl,19,32,v_struct,vscore_distilgpt2_gutenberg_accessible_v0_matchedctrl_seed19_dn32.csv,Surprise,Surprise,123,17,8,v_pref_struct,vscore_distilgpt2_kfold_surface_poolSurprise_evalSurprise_foldseed123_seed17_dn8.csv,36,-0.2690104115314687,0.4637178036978549,0.7327282152293236
domain_contrast,Surprise,accessible,matchedctrl,19,32,v_struct,vscore_distilgpt2_gutenberg_accessible_v0_matchedctrl_seed19_dn32.csv,Surprise,Surprise,123,18,8,v_pref_struct,vscore_distilgpt2_kfold_surface_poolSurprise_evalSurprise_foldseed123_seed18_dn8.csv,36,-0.2690104115314687,0.45393092419742803,0.7229413357288967
domain_contrast,Surprise,accessible,matchedctrl,19,32,v_struct,vscore_distilgpt2_gutenberg_accessible_v0_matchedctrl_seed19_dn32.csv,Surprise,Surprise,123,19,8,v_pref_struct,vscore_distilgpt2_kfold_surface_poolSurprise_evalSurprise_foldseed123_seed19_dn8.csv,36,-0.2690104115314687,0.4234113131237286,0.6924217246551974
domain_contrast,Surprise,accessible,matchedctrl,19,32,v_struct,vscore_distilgpt2_gutenberg_accessible_v0_matchedctrl_seed19_dn32.csv,Surprise,Surprise,202,17,8,v_pref_struct,vscore_distilgpt2_kfold_surface_poolSurprise_evalSurprise_foldseed202_seed17_dn8.csv,36,-0.2690104115314687,0.6147705623031268,0.8837809738345954
domain_contrast,Surprise,accessible,matchedctrl,19,32,v_struct,vscore_distilgpt2_gutenberg_accessible_v0_matchedctrl_seed19_dn32.csv,Surprise,Surprise,202,18,8,v_pref_struct,vscore_distilgpt2_kfold_surface_poolSurprise_evalSurprise_foldseed202_seed18_dn8.csv,36,-0.2690104115314687,0.40744324657040065,0.6764536581018694
domain_contrast,Surprise,accessible,matchedctrl,19,32,v_struct,vscore_distilgpt2_gutenberg_accessible_v0_matchedctrl_seed19_dn32.csv,Surprise,Surprise,202,19,8,v_pref_struct,vscore_distilgpt2_kfold_surface_poolSurprise_evalSurprise_foldseed202_seed19_dn8.csv,36,-0.2690104115314687,0.49835820614015514,0.7673686176716239
