observer,target,control_mode,n_runs,observed_mean_rho,analysis,boot_mean,boot_std,ci95_low,ci95_high,p_boot_le_zero,p_boot_ge_zero,n_boot,ci_excludes_zero
gpt2,Aesthetic_Appeal,matched_other,5,0.23538650113762477,observer_family_absolute_summary,0.226952593623518,0.15153972324599688,-0.07832969249065444,0.5110956341560011,0.0694,0.9306,5000,False
gpt2-medium,Aesthetic_Appeal,matched_other,5,0.28291176430070636,observer_family_absolute_summary,0.2742406372602908,0.15577994981623708,-0.04474587768098714,0.5621411648773192,0.0446,0.9554,5000,False
