target,domain_variant,control_variant,generic_metric,pool_target,supervised_metric,analysis,n_pairs,observed_mean_generic_rho,observed_mean_supervised_rho,observed_mean_diff,boot_mean,boot_std,ci95_low,ci95_high,p_boot_le_zero,p_boot_ge_zero,n_boot,ci_excludes_zero
Aesthetic_Appeal,accessible,matchedctrl,v_struct,Aesthetic_Appeal,v_pref_struct,domain_contrast_summary,27,-0.07191435632116722,0.475381356612298,0.5472957129334654,0.5368462103444198,0.2165434178859585,0.11123283762445305,0.9613871325545593,0.0062,0.9938,5000,True
Aesthetic_Appeal,accessible,wordctrl,v_struct,Aesthetic_Appeal,v_pref_struct,domain_contrast_summary,27,-0.08997876205578025,0.475381356612298,0.5653601186680783,0.5495163601408563,0.1895225662476266,0.16471060970625137,0.9067595737689954,0.002,0.998,5000,True
Aesthetic_Appeal,formal,matchedctrl,v_struct,Aesthetic_Appeal,v_pref_struct,domain_contrast_summary,27,-0.24728068942654333,0.475381356612298,0.7226620460388415,0.7068122195285272,0.2017640425223128,0.2901741234453439,1.0811404610744337,0.0002,0.9998,5000,True
Aesthetic_Appeal,formal,wordctrl,v_struct,Aesthetic_Appeal,v_pref_struct,domain_contrast_summary,27,-0.03158052879020232,0.475381356612298,0.5069618854025004,0.49250611277243744,0.18566753122482582,0.12152790264202376,0.8487010128133762,0.0038,0.9962,5000,True
